,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0
1,311145663.3392954,0.0,0.0,0.0,0.0
2,23813098.112967193,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,13244532.906937502,0.0,0.0,0.0,0.0
6,22263299.07982032,0.0,0.0,0.0,0.0
7,49641480.00202782,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,256844834.76660755,0.0,0.0,0.0,0.0
10,251272552.45256722,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,335333791.50195086,0.0,0.0,0.0,0.0
13,232773514.5666657,0.0,0.0,0.0,0.0
14,21849631.73296313,0.0,0.0,0.0,0.0
15,5174949.791025001,0.0,0.0,0.0,0.0
16,1430962.2081759379,0.0,0.0,0.0,0.0
17,34382142.532335944,0.0,0.0,0.0,0.0
18,40716236.27299017,0.0,0.0,0.0,0.0
19,8055289.856368126,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,237959602.89231378,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,28029744.782077502,0.0,0.0,0.0,0.0
25,4422669435.047509,0.0,0.0,0.0,0.0
26,83116940.50427905,0.0,0.0,0.0,0.0
27,25740775.917025317,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,2488445.1703125,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,972937811.7483921,0.0,0.0,0.0,0.0
32,38085988.49228743,0.0,0.0,0.0,0.0
33,31271610.318795007,0.0,0.0,0.0,0.0
34,21224877.261269066,0.0,0.0,0.0,0.0
35,9892868.624296874,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,274057740.26270723,0.0,0.0,0.0,0.0
38,57173746.0275647,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,8996774.322178127,0.0,0.0,0.0,0.0
41,67429228.46869184,0.0,0.0,0.0,0.0
42,60339159.138372205,0.0,0.0,0.0,0.0
43,169777562.03460282,0.0,0.0,0.0,0.0
44,15723945.771856878,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,26905230.84375,0.0,0.0,0.0,0.0
47,20252156.16886875,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,55322480.11228313,0.0,0.0,0.0,0.0
